Organization.Location.1,Organization.Location.2,Organization.Location.3,Organization.Location.4,Organization.Location.5,Location
Sydney  Australia,"Bengaluru Area, India","Bengaluru Area, India",,,"Sydney, Australia"
Sydney  Australia,Lagos,"GLO GU Swap and Expansion Project (OYO, OGUN and LAGOS State)",Lagos Nigeria,lagos Nigeria,"Sydney, Australia"
Sydney  Australia,Neutral Bay,"South Granville, NSW",,,"Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Bristol, UK","Bristol, United Kingdom","Melbourne, Australia; Bristol UK","Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia","Sydney, Australia",,"Sydney, Australia"
Sydney  Australia,"Leppington, Sydney, NSW","Sydney, Australia",,,Bahamas
Sydney  Australia,"Sydney, Australia","Bengaluru Area, India","Bengaluru Area, India",,"Sydney, Australia"
Sydney  Australia,"Gladesville, NSW, Australia","60, Martin Place, Sydney 2000","Hyderabad Area, India","Hyderābād Area, India","Sydney, Australia"
Sydney  Australia,,"Sydney, NSW",Sydney,Sydney,"Sydney, Australia"
Sydney  Australia,"Sydney Area, Australia",,,,"Sydney, Australia"
Sydney  Australia,,,,"Pune Area, India","Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia",Waitara,Sydney,"Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia","Sydney, Australia","Sydney, Australia","Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Manly, New South Wales, Australia","Bangalore, India",,"Terrey Hills, New South Wales, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia","Sydney, Australia","Sydney, Australia","Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia",,Sydney,"Sydney, New South Wales, Australia"
Sydney  Australia,"Sydney, Australia",,,,"Sydney, Australia"
Sydney  Australia,North ryde,"Sydney, Australia",,"Ermington, New South Wales, Australia","Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia","Sydney, Australia","Sydney, Australia","Sydney, Australia"
Sydney  Australia,Sydney,,,,"Sydney, Australia"
Sydney  Australia,"Sydney, Australia",,"New Delhi Area, India",,"Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia","Sydney, Australia","Sydney, Australia","Macquarie Park, New South Wales, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia","Bengaluru Area, India",,"Sydney, Australia"
Sydney  Australia,"Sydney, Australia",Sydney,"Bengaluru Area, India","Bengaluru Area, India","Sydney, Australia"
Sydney  Australia,Sydney,,"Sydney, Australia","Sydney, Australia","Sydney, Australia"
Sydney  Australia,"Sydney, Australia",,"Pune Area, India","Mumbai, Maharashtra","Sydney, Australia"
Sydney  Australia,North Sydney,"Sydney, Australia",,,"Sydney, Australia"
Sydney  Australia,"Sydney, Australia",bellevue,"Bengaluru Area, India","Bengaluru Area, India","Macquarie Park, New South Wales, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia","Sydney, Australia","Sydney, Australia","Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia",Sydney / Canberra,"Sydney Area, Australia / Singapore, Singapore","Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia","Sydney, Australia","Sydney, Australia","Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia","Sydney Area, Australia","Sydney Area, Australia","Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia",Sydney,"Sydney, Australia","Sydney, Australia"
Sydney  Australia,"Bankstown Campus, Sydney, Australia",Camperdown NSW 2006,"Kabul, Afghanistan","Kabul, Afghansiatn","Macquarie Park, New South Wales, Australia"
Sydney  Australia,"Healthcare City, Dubai","Sydney, Australia","Sydney, Australia","Sydney, Australia","Sydney, Australia"
Sydney  Australia,"Sydney, Australia",Sydney,Hong Kong,Hong Kong,"Sydney, Australia"
Sydney  Australia,,Napoleon Perdis Headquarters - Alexandria,"sydney area, australia","Melbourne Area, Australia",Australia
Sydney  Australia,University of Melbourne,"Sydney, Australia",,"Sydney, Australia","Melbourne, Victoria, Australia"
Sydney  Australia,,"Sydney, Australia","Sydney, Australia",Gold Coast,"Sydney, Australia"
Sydney  Australia,,"Pyrmont, Sydney, Australia",,"Pyrmont, Sydney","Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia","New Delhi Area, India","New Delhi Area, India","Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia","Sydney, Australia","Sydney, Australia","Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia","Sydney, Australia","Sydney, Australia","Sydney, New South Wales, Australia"
Sydney  Australia,,,,,"Sydney, Australia"
Sydney  Australia,"Sydney, Australia",Macquarie University,"206 Farnham Road, Quakers Hill",Macquarie University,"Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia",,,"Sydney, Australia"
Sydney  Australia,"Sydney, Australia",,"Sydney, Australia","Sydney, Australia","Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia","Sydney, Australia",,"Sydney, Australia"
Sydney  Australia,Sydney,"London, United Kingdom","London, United Kingdom","Sydney, Australia","Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia","Surry Hills, New South Wales, Australia","Sydney, Australia","Sydney, Australia"
Sydney  Australia,APAC and JAPAN,"Sydney, Australia",Hong Kong,"Sydney Area, Australia","Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia","Sydney, Australia",,"Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia","Sydney, Australia","Sydney, Australia","Kirribilli, New South Wales, Australia"
Sydney  Australia,,,,,"Sydney, Australia"
Sydney  Australia,"Clarence Street, Sydney",,,,"Sydney, Australia"
Sydney  Australia,"Sydney, Australia",Sydney,Sydney,Sydney,"Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia","Sydney, Australia","Sydney, Australia","Melbourne, Victoria, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia",North Ryde NSW,"Sydney, Australia","Sydney, Australia"
Sydney  Australia,Regional Headquarter - Asia Pacific,Regional Headquarter - APAC,Regional Headquarter - APAC,Regional Headquarter - APAC,"Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia",Singapore,"Sydney, Australia","Sydney, Australia"
Sydney  Australia,Sydney,"Sydney, Australia","Mumbai Area, India",,"Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia",,,"Sydney, Australia"
Sydney  Australia,Singapore,"Sydney, Australia","Sydney, Australia","Sydney, Australia","Gore Hill, New South Wales, Australia"
Sydney  Australia,Chatswood,"Sydney, Australia",,,"Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia",,,"Sydney, Australia"
Sydney  Australia,,,"Canberra, Australia","Canberra, Australia","Canberra, Australia"
Sydney  Australia,,Singapore,United States,United States,"Sydney, Australia"
Sydney  Australia,"Sydney Area, Australia",Australia,,"sydney area, australia","New South Wales, Australia"
Sydney  Australia,"Sydney, Australia",Sydney,"Sydney, Australia","Sydney Area, Australia","Sydney, Australia"
Sydney  Australia,"Sydney, Australia",Sydney,Sydney,,"Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia","Amsterdam Area, Netherlands","Sydney, Australia","Sydney, Australia"
Sydney  Australia,Sydney,"Willoughby, New South Wales, Australia",,"Sydney Area, Australia","Sydney, Australia"
Sydney  Australia,"Sydney, Australia",Australia,"Sydney, Australia",,"Sydney, Australia"
Sydney  Australia,"Sydney, Australia",,,,"Sydney, Australia"
Sydney  Australia,Fiji Islands,"Auckland, NZ",Fiji Islands,,"Sydney, Australia"
Sydney  Australia,"Sydney, Australia",,,,"Sydney, Australia"
Sydney  Australia,Sydney,,"Sydney, Australia","Sydney, Australia",Australia
Sydney  Australia,"Mohali, Punjab","Chandigarh Area, India",,,Canada
Sydney  Australia,"Sydney, Australia",Sydney,,"London, UK",United Kingdom
Sydney  Australia,"Brookvale, NSW","Cremorne, Sydney","Balgowlah, Sydney","Sydney, Australia","Sydney, Australia"
Sydney  Australia,"Sydney, Australia",,,,"Sydney, Australia"
Sydney  Australia,,,"New Delhi, Delhi, India",,"Sydney, Australia"
Sydney  Australia,Crows Nest,Macquarie University,,,"Sydney, Australia"
Sydney  Australia,"St Leonards, New South Wales, Australia",St Leonards,Sydney,Belrose,"Sydney, Australia"
Sydney  Australia,,Australia,"Sydney, Australia","Sydney, Australia","Sydney, Australia"
Sydney  Australia,Lucknow,Gr Noida,"Lucknow Area, India","Lucknow Area, India","Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia","Sydney, Australia","Sydney, Australia","Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia","Mumbai Area, India",,"Sydney, Australia"
Sydney  Australia,"Townsville, Australia","Melbourne, Australia","Melbourne, Australia","Sydney, Australia","Pyrmont, New South Wales, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia","Sydney, Australia",,"Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia","Greater Jakarta Area, Indonesia","Sydney, Australia","Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia","Sydney, Australia","Chennai Area, India","Waitara, New South Wales, Australia"
Sydney  Australia,"Gurgaon, India","Gurgaon, India",Noida,"Gurgaon, India","Sydney, Australia"
Sydney  Australia,North Ryde,,,,"Sydney, Australia"
Sydney  Australia,"Sydney, Australia","North Ryde, New South Wales, Australia",,,"Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia",,,"Sydney, Australia"
Sydney  Australia,"Victoria, British Columbia","Sydney, Australia","Australian Hearing Hub, Macquarie University","Macquarie University, New South Wales, Australia","Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia","Sydney, Australia","Noida Area, India","Sydney, Australia"
Sydney  Australia,NSW,"Sydney, Australia",,"Hawkes Bay, New Zealand","Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Amsterdam Area, Netherlands","Amsterdam Area, Netherlands","Sydney, Australia","Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia","Sydney, Australia","Sydney, Australia","Sydney, Australia"
Sydney  Australia,"Sydney Area, Australia","Sydney Area, Australia","Sydney, Australia","Sydney, Australia","Sydney, Australia"
Sydney  Australia,320 Pitt St,131-133 Devonshire St,,"85 Castlereagh St, Sydney CBD","Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Bengaluru, Karnataka, India","Sydney, Australia","Sydney, Australia","Sydney, Australia"
Sydney  Australia,"Melbourne, Australia","Melbourne, Australia","Melbourne, Australia","Shanghai City, China","Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia","Sydney, Australia","Sydney, Australia","Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia","Sydney, Australia","Sydney, Australia","Sydney, Australia"
Sydney  Australia,,"Sydney, Australia","Sydney, Australia","Sydney, Australia","Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia",Walsh Bay,,"Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia","Sydney, Australia","Sydney, Australia","Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Level 5 , 31 Market St Sydney",,,"Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia","Sydney, Australia",Macquarie University,"Sydney, Australia"
Sydney  Australia,"Sydney, Australia",,"Sydney, Australia",,"Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia","Sydney Area, Australia","Sydney, Australia","Sydney, Australia"
Sydney  Australia,"London, United Kingdom",London,"Sydney, Australia",,"Sydney, New South Wales, Australia"
Sydney  Australia,"Berlin Area, Germany","Sydney, Australia","Sydney, Australia","Munich Area, Germany","Sydney, Australia"
Sydney  Australia,Dubai,"Sydney, Australia",,,"Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia","Sydney, Australia",,"Sydney, Australia"
Sydney  Australia,North Sydney,North Sydney,NSW Business Chamber,"Sydney, Australia","Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia","Sydney, Australia","Sydney, Australia","Sydney, Australia"
Sydney  Australia,Ahmedabad,"Ahmedabad Area, India",,,"Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia","Sydney, Australia","Sydney, Australia","Sydney, Australia"
Sydney  Australia,,"New Delhi Area, India","Hyderabad Area, India",,"Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Level 18, 420 George St, Sydney, NSW, 2000","Sydney, Australia",Illawarra,"Darlinghurst, New South Wales, Australia"
Sydney  Australia,"Jones Bay Wharf, Sydney",Sydney,North Parramatta,"Sydney, Australia","Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia",Sydney,Sydney,"Sydney, Australia"
Sydney  Australia,,,Ryde Secondary College,"Sydney Area, Australia","Sydney, Australia"
Sydney  Australia,Mascot,"Sydney, Australia",,,"Sydney, Australia"
Sydney  Australia,"Sydney Area, Australia",,"Jamshedpur Area, India",,"Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Mumbai Area, India","Kerala, India",,"Macquarie University, New South Wales, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia",Macquarie University,Macquarie University,"Sydney, Australia"
Sydney  Australia,"Melbourne, Australia","Melbourne, Australia","Melbourne, Australia, Phoenix, USA","Melbourne, Australia","Sydney, New South Wales, Australia"
Sydney  Australia,,Pakistan,Lahore Pakistan,Lahore Pakistan,"Macquarie Park, New South Wales, Australia"
Sydney  Australia,Singapore,"Sydney, Australia","Sydney, Australia","Sydney Area, Australia","Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia","Sydney, Australia",Macquarie University,"Sydney, Australia"
Sydney  Australia,"North Shore, New South Wales, Australia","Sydney, Australia","Sydney, Australia",Sydney,"Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia","Sydney, Australia","Sydney, Australia","Sydney, Australia"
Sydney  Australia,Global,Australia,Global,Australia,"Sydney, Australia"
Sydney  Australia,,,,,"Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney Area, Australia","Sydney, Australia",,"Sydney, Australia"
Sydney  Australia,Sydney,,"Sydney, Australia",,"Sydney, Australia"
Sydney  Australia,Sydney,"Melbourne, Australia",,"Sydney, Australia","Sydney, Australia"
Sydney  Australia,"Melbourne, Australia","Melbourne, Australia","Fontainebleau, France",Australia,"Sydney, Australia"
Sydney  Australia,"New Delhi Area, India",,,,Australia
Sydney  Australia,"Gurgaon, India","Gurgaon, Haryana, India","New Delhi Area, India",,"Clayton, Victoria, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia","Sydney, Australia","Sydney, Australia","Sydney, Australia"
Sydney  Australia,"Sydney, Australia","London, United Kingdom","London, United Kingdom","London, United Kingdom","Sydney, Australia"
Sydney  Australia,"Sydney, Australia",,"Sydney, Australia","Sydney Area, Australia","Sydney, New South Wales, Australia"
Sydney  Australia,"Sydney, Australia","Perth, Australia","Belfast, United Kingdom","Straid, Ballyclare, Co. Antrim","Sydney, Australia"
Sydney  Australia,"Belfast, United Kingdom",,,,Australia
Sydney  Australia,,,,,Ireland
Sydney  Australia,"Sydney, Australia","Sydney, Australia","Belfast, United Kingdom",,"Sydney, Australia"
Sydney  Australia,"Sydney, Australia","London, United Kingdom",London,,"Sydney, New South Wales, Australia"
Sydney  Australia,"Sydney, Australia",Africa & Asia,"London, United Kingdom","London, United Kingdom","Sydney, Australia"
Sydney  Australia,"Parramatta, New South Wales, Australia",,,,"Sydney, New South Wales, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia","Sydney, Australia","Sydney, Australia","Sydney, Australia"
Sydney  Australia,Melbourne,"Belfast, United Kingdom",,,"Sydney, Australia"
Sydney  Australia,"Pacific Fair, Queensland, Australia","Brisbane, Australia","Brisbane, Australia","Brisbane, Australia","Sydney, Australia"
Sydney  Australia,"Beijing City, China","Wuhan, Hubei, China",,,"Parramatta, New South Wales, Australia"
Sydney  Australia,"Brisbane, Australia","Brisbane, Australia","Sydney, Australia","Brisbane, Australia","Brisbane, Australia"
Sydney  Australia,,"Sydney, Australia","Shanghai City, China","Brisbane, Australia","Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia",,,"Sydney, New South Wales, Australia"
Sydney  Australia,"Brisbane, Australia","Brisbane, Australia","Ferny Grove, Brisbane",Ferny Grove,"Sydney, Australia"
Sydney  Australia,"Sydney, New South Wales, Australia",,"Sydney, Australia","Pelican Waters, Queensland, Australia","Sydney, Australia"
Sydney  Australia,Sydney,North Sydney,Sydney,,"Sydney, Australia"
Sydney  Australia,"Sydney, Australia","Sydney, Australia","Sydney, Australia","Sydney, Australia","New South Wales, Australia"
Sydney  Australia,Ultimo,"Sydney, Australia",Ultimo Campus,Ultimo,"Sydney, Australia"
Sydney  Australia,,"Wollongong, Australia",,,"Roseville, New South Wales, Australia"
